"star_programs","program","specialty"
"Washington University/B-JH/SLCH Consortium_Dermatology","Washington University/B-JH/SLCH Consortium","Dermatology"
"Wayne State University School of Medicine_Dermatology","Wayne State University School of Medicine","Dermatology"
"West Virginia University_Dermatology","West Virginia University","Dermatology"
"Wright State University_Dermatology","Wright State University","Dermatology"
"Yale-New Haven Medical Center_Dermatology","Yale-New Haven Medical Center","Dermatology"
"Botsford Hospital_Dermatology","Botsford Hospital","Dermatology"
"University of California (San Francisco)_Emergency Medicine","University of California (San Francisco)","Emergency Medicine"
"Baylor College of Medicine_Emergency Medicine","Baylor College of Medicine","Emergency Medicine"
"Greenville Health System/University of South Carolina_Emergency Medicine","Greenville Health System/University of South Carolina","Emergency Medicine"
"Louisiana State University (Baton Rouge)_Emergency Medicine","Louisiana State University (Baton Rouge)","Emergency Medicine"
"Texas A&M College of Medicine-Scott and White_Emergency Medicine","Texas A&M College of Medicine-Scott and White","Emergency Medicine"
"Texas Tech University Health Sciences Center Paul L Foster School of Medicine_Emergency Medicine","Texas Tech University Health Sciences Center Paul L Foster School of Medicine","Emergency Medicine"
"University of Louisville_Emergency Medicine","University of Louisville","Emergency Medicine"
"University of Texas Health Science Center at Houston_Emergency Medicine","University of Texas Health Science Center at Houston","Emergency Medicine"
"Alameda Health System-Highland Hospital_Emergency Medicine","Alameda Health System-Highland Hospital","Emergency Medicine"
"Beth Israel Deaconess Medical Center/Harvard Medical School_Emergency Medicine","Beth Israel Deaconess Medical Center/Harvard Medical School","Emergency Medicine"
"Carolinas Medical Center_Emergency Medicine","Carolinas Medical Center","Emergency Medicine"
"Christus Health/Texas A&M College of Medicine/Spohn Hospital_Emergency Medicine","Christus Health/Texas A&M College of Medicine/Spohn Hospital","Emergency Medicine"
"Denver Health Medical Center_Emergency Medicine","Denver Health Medical Center","Emergency Medicine"
"Duke University Hospital_Emergency Medicine","Duke University Hospital","Emergency Medicine"
"Eastern Virginia Medical School_Emergency Medicine","Eastern Virginia Medical School","Emergency Medicine"
"Emory University School of Medicine_Emergency Medicine","Emory University School of Medicine","Emergency Medicine"
"Florida Atlantic University Charles E. Schmidt College of Medicine_Emergency Medicine","Florida Atlantic University Charles E. Schmidt College of Medicine","Emergency Medicine"
"George Washington University_Emergency Medicine","George Washington University","Emergency Medicine"
"Georgetown University Hospital/Washington Hospital Center_Emergency Medicine","Georgetown University Hospital/Washington Hospital Center","Emergency Medicine"
"Grand Rapids Medical Education Partners/Michigan State University_Emergency Medicine","Grand Rapids Medical Education Partners/Michigan State University","Emergency Medicine"
"Indiana University School of Medicine_Emergency Medicine","Indiana University School of Medicine","Emergency Medicine"
"Jackson Memorial Hospital/Jackson Health System_Emergency Medicine","Jackson Memorial Hospital/Jackson Health System","Emergency Medicine"
"John Peter Smith Hospital (Tarrant County Hospital District)_Emergency Medicine","John Peter Smith Hospital (Tarrant County Hospital District)","Emergency Medicine"
"Johns Hopkins University_Emergency Medicine","Johns Hopkins University","Emergency Medicine"
"Louisiana State University_Emergency Medicine","Louisiana State University","Emergency Medicine"
"Maricopa Medical Center_Emergency Medicine","Maricopa Medical Center","Emergency Medicine"
"Massachusetts General Hospital/Brigham and Women's Hospital/Harvard Medical School_Emergency Medicine","Massachusetts General Hospital/Brigham and Women's Hospital/Harvard Medical School","Emergency Medicine"
"Mayo Clinic College of Medicine and Science (Rochester)_Emergency Medicine","Mayo Clinic College of Medicine and Science (Rochester)","Emergency Medicine"
"Ohio State University Hospital_Emergency Medicine","Ohio State University Hospital","Emergency Medicine"
"Orlando Health_Emergency Medicine","Orlando Health","Emergency Medicine"
"University of Alabama Medical Center_Emergency Medicine","University of Alabama Medical Center","Emergency Medicine"
"University of Arizona College of Medicine_Emergency Medicine","University of Arizona College of Medicine","Emergency Medicine"
"University of California (San Diego)_Emergency Medicine","University of California (San Diego)","Emergency Medicine"
"University of Chicago_Emergency Medicine","University of Chicago","Emergency Medicine"
"University of Florida (Gainesville)_Emergency Medicine","University of Florida (Gainesville)","Emergency Medicine"
"University of Florida (Jacksonville )_Emergency Medicine","University of Florida (Jacksonville )","Emergency Medicine"
"University of New Mexico_Emergency Medicine","University of New Mexico","Emergency Medicine"
"University of Texas at Austin Dell Medical School_Emergency Medicine","University of Texas at Austin Dell Medical School","Emergency Medicine"
"University of Texas Health Science Center School of Medicine at San Antonio_Emergency Medicine","University of Texas Health Science Center School of Medicine at San Antonio","Emergency Medicine"
"University of Texas Southwestern Medical School_Emergency Medicine","University of Texas Southwestern Medical School","Emergency Medicine"
"University of Virginia_Emergency Medicine","University of Virginia","Emergency Medicine"
"Vanderbilt University Medical Center_Emergency Medicine","Vanderbilt University Medical Center","Emergency Medicine"
"Vidant Medical Center/East Carolina University_Emergency Medicine","Vidant Medical Center/East Carolina University","Emergency Medicine"
"Virginia Commonwealth University Health System_Emergency Medicine","Virginia Commonwealth University Health System","Emergency Medicine"
"Wake Forest University School of Medicine_Emergency Medicine","Wake Forest University School of Medicine","Emergency Medicine"
"Yale-New Haven Medical Center_Emergency Medicine","Yale-New Haven Medical Center","Emergency Medicine"
"Albany Medical Center_Emergency Medicine","Albany Medical Center","Emergency Medicine"
"Boston University Medical Center_Emergency Medicine","Boston University Medical Center","Emergency Medicine"
"Brown University_Emergency Medicine","Brown University","Emergency Medicine"
"Hennepin County Medical Center_Emergency Medicine","Hennepin County Medical Center","Emergency Medicine"
"John H Stroger Hospital of Cook County_Emergency Medicine","John H Stroger Hospital of Cook County","Emergency Medicine"
"McGaw Medical Center of Northwestern University_Emergency Medicine","McGaw Medical Center of Northwestern University","Emergency Medicine"
"Mercy St Vincent Medical Center/Mercy Health Partners_Emergency Medicine","Mercy St Vincent Medical Center/Mercy Health Partners","Emergency Medicine"
"New York Presbyterian Hospital (Columbia and Cornell Campus)_Emergency Medicine","New York Presbyterian Hospital (Columbia and Cornell Campus)","Emergency Medicine"
"New York University School of Medicine_Emergency Medicine","New York University School of Medicine","Emergency Medicine"
"San Antonio Uniformed Services Health Education Consortium_Emergency Medicine","San Antonio Uniformed Services Health Education Consortium","Emergency Medicine"
"Stanford University_Emergency Medicine","Stanford University","Emergency Medicine"
"University of Cincinnati Medical Center/College of Medicine_Emergency Medicine","University of Cincinnati Medical Center/College of Medicine","Emergency Medicine"
"University of Connecticut_Emergency Medicine","University of Connecticut","Emergency Medicine"
"University of Maryland_Emergency Medicine","University of Maryland","Emergency Medicine"
"University of North Carolina Hospitals_Emergency Medicine","University of North Carolina Hospitals","Emergency Medicine"
"University of Pennsylvania_Emergency Medicine","University of Pennsylvania","Emergency Medicine"
"University of Rochester_Emergency Medicine","University of Rochester","Emergency Medicine"
"University of Southern California/LAC+USC Medical Center_Emergency Medicine","University of Southern California/LAC+USC Medical Center","Emergency Medicine"
"University of Washington_Emergency Medicine","University of Washington","Emergency Medicine"
"UPMC Medical Education_Emergency Medicine","UPMC Medical Education","Emergency Medicine"
"University of Nevada Reno School of Medicine_Emergency Medicine","University of Nevada Reno School of Medicine","Emergency Medicine"
"Christiana Care Health Services_Emergency Medicine","Christiana Care Health Services","Emergency Medicine"
"Grand Strand Regional Medical Center_Emergency Medicine","Grand Strand Regional Medical Center","Emergency Medicine"
"Icahn School of Medicine at Mount Sinai_Emergency Medicine","Icahn School of Medicine at Mount Sinai","Emergency Medicine"
"Los Angeles County-Harbor-UCLA Medical Center_Emergency Medicine","Los Angeles County-Harbor-UCLA Medical Center","Emergency Medicine"
"UCLA Medical Center/Olive View_Emergency Medicine","UCLA Medical Center/Olive View","Emergency Medicine"
"University of California Davis Health_Emergency Medicine","University of California Davis Health","Emergency Medicine"
"University of Tennessee College of Medicine at Chattanooga_Emergency Medicine","University of Tennessee College of Medicine at Chattanooga","Emergency Medicine"
"Albert Einstein Healthcare Network_Emergency Medicine","Albert Einstein Healthcare Network","Emergency Medicine"
"Case Western Reserve University (MetroHealth)_Emergency Medicine","Case Western Reserve University (MetroHealth)","Emergency Medicine"
"Icahn School of Medicine at Mount Sinai (Beth Israel)_Emergency Medicine","Icahn School of Medicine at Mount Sinai (Beth Israel)","Emergency Medicine"
"Montefiore Medical Center/Albert Einstein College of Medicine (Jacobi/Montefiore)_Emergency Medicine","Montefiore Medical Center/Albert Einstein College of Medicine (Jacobi/Montefiore)","Emergency Medicine"
